,name,desc,score,c_score,price,category,accessibility,schedule,web,search_parameters,phone,address,lat,lon
0,Mar y Fuego- Medellín,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Bucle magnético de asistencia

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Asientos al aire libre

Retiros en la puerta

Pedidos desde el automóvil

Para llevar

Consumo en el lugar
    Aspectos destacados

Asientos en la terraza

Buenos cócteles
    Qué ofrece

Alcohol

Aperitivos

Bebidas fuertes

Café

Cerveza

Cócteles

Opciones veganas

Platos vegetarianos

Vino
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo

Cena

Postres

Espacio con asientos
    Servicios

Sanitario

Sanitarios unisex

Tiene bar

Wi-Fi

Tiene Wi-Fi gratis
    Ambiente

Agradable
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero

Grupos

Recomendable para ir en familia
    Planificación

Se aceptan reservas
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños

Menú para niños

Sillas altas
    Estacionamiento

Hay suficiente espacio

Estacionamiento pagado

Estacionamiento pagado en la calle
    Mascotas

Se admiten perros en el interior

Se permiten perros

Se permiten perros afuera",4.7,874.0,,Restaurante,Accesible con silla de ruedas,,https://www.instagram.com/maryfuego.col/,Comuna El Poblado Restaurantes,,"Cra. 37 #10b-4, El Poblado, Medellín, El Poblado, Medellín, Antioquia",6.2108321,-75.5659179
1,Lezzet Cocina Turca,"Información  Restaurante cálido que ofrece especialidades turcas tradicionales, brunch y café.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas
    Opciones de servicio

Asientos al aire libre

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Alcohol

Aperitivos

Bebidas fuertes

Café

Cerveza

Cócteles

Comidas durante la madrugada

Opciones veganas

Platos vegetarianos

Vino
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo

Cena

Postres

Espacio con asientos
    Servicios

Sanitario

Tiene bar
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños
    Estacionamiento

Hay suficiente espacio

Estacionamiento pagado",4.5,727.0,$$,Restaurante turco,Accesible con silla de ruedas,,http://lezzetcafe.restaurantwebexperts.com/,Comuna El Poblado Restaurantes,302 4062857 ,"Cra. 34 #7-87, El Poblado, Medellín, El Poblado, Medellín, Antioquia",6.206772,-75.5650441
2,Restaurante La Matriarca Medellín | Chicharrón | Comida Tradicional,"Información  Lugar tranquilo con terraza y un ambiente bohemio, en donde se ofrece gastronomía tradicional y regional.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Información proporcionada por la empresa

Se identifica como mujer empresaria
    Opciones de servicio

Asientos al aire libre

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Aspectos destacados

Asientos en la terraza

Deportes

Música en vivo
    Qué ofrece

Alcohol

Aperitivos

Barra de ensaladas

Bebidas fuertes

Café

Cerveza

Cócteles

Comidas durante la madrugada

Platos vegetarianos

Vino
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo

Cena

Postres

Espacio con asientos
    Servicios

Sanitario

Tiene bar

Wi-Fi

Tiene Wi-Fi gratis
    Ambiente

Agradable

Informal
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero

Grupos

Recomendable para ir en familia
    Planificación

Se aceptan reservas
    Pagos

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños

Menú para niños

Sillas altas
    Estacionamiento

Hay suficiente espacio

Estacionamiento gratuito en la calle

Estacionamiento pagado

Estacionamiento pagado en la calle
    Mascotas

Se permiten perros",4.6,5989.0,$$,Restaurante colombiano,Accesible con silla de ruedas,,https://lamatriarca.com/,Comuna El Poblado Restaurantes,320 5652016 ,"Cl. 8 #43b-62, El Poblado, Medellín, El Poblado, Medellín, Antioquia",6.2097938,-75.5722002
3,Restaurante Amena,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Opciones de servicio

Asientos al aire libre

Consumo en el lugar

Entrega a domicilio
    Aspectos destacados

Asientos en la terraza

Buenos cócteles

Música en vivo
    Qué ofrece

Alcohol

Aperitivos

Bebidas en hora feliz

Bebidas fuertes

Café

Cerveza

Cócteles

Comidas en hora feliz

Platos vegetarianos

Vino
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo

Cena

Servicio en el mostrador

Postres

Espacio con asientos
    Servicios

Sanitario

Sanitarios unisex

Tiene bar
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Pagos

Tarjetas de crédito
    Menores

Ideal para ir con niños
    Estacionamiento

Hay suficiente espacio

Estacionamiento pagado
    Mascotas

Se permiten perros",5.0,861.0,,Restaurante,Accesible con silla de ruedas,,http://www.amenarestaurante.com/,Comuna El Poblado Restaurantes,317 6650874 ,"Cra. 41 #10-29, El Poblado, Medellín, El Poblado, Medellín, Antioquia",6.2104127,-75.5686974
4,"MEMMORIA Restaurante | ""Deja una huella en tu memoria""","Información  Opciones de servicio

Para llevar

Consumo en el lugar

Entrega a domicilio
    Aspectos destacados

Buenos cócteles
    Qué ofrece

Alcohol

Aperitivos

Bebidas fuertes

Café

Cerveza

Cócteles
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo

Cena

Postres
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.9,122.0,,Restaurante,,"9 .,3 pm.",https://wellcommhotels.com/dining/?utm_source=google&utm_medium=organic&utm_campaign=gmb-restaurante,Comuna El Poblado Restaurantes,324 6248880 ,"Cra. 43E #11-37, El Poblado, Medellín, El Poblado, Medellín, Antioquia",6.2131293,-75.5731336
5,Restaurante La Causa El Poblado,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Opciones de servicio

Asientos al aire libre

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Aspectos destacados

Buenos cócteles
    Qué ofrece

Alcohol

Aperitivos

Bebidas fuertes

Café

Cerveza

Cócteles

Vino
    Opciones del local

Desayuno-almuerzo

Almuerzo

Cena

Postres

Espacio con asientos
    Servicios

Sanitario

Tiene bar
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Sillas altas
    Estacionamiento

Estacionamiento gratuito en la calle

Estacionamiento pagado",4.6,1833.0,$$,Restaurante,Accesible con silla de ruedas,"12 pm.,9 pm.",https://lacausa.com.co/pedir,Comuna El Poblado Restaurantes,316 2228129 ,"Cra 33 #8A - 41, El Poblado, Medellín, El Poblado, Medellín, Antioquia",6.2081557,-75.5646691
6,Restaurante Mondongo's Poblado,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Opciones de servicio

Asientos al aire libre

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Alcohol

Bebidas fuertes

Café

Cerveza

Vino
    Opciones del local

Desayuno-almuerzo

Almuerzo

Cena

Postres

Espacio con asientos
    Servicios

Sanitario

Wi-Fi

Tiene Wi-Fi gratis
    Ambiente

Agradable

Informal
    Público usual

Grupos

Recomendable para ir en familia
    Planificación

Se aceptan reservas
    Pagos

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños

Menú para niños
    Estacionamiento

Estacionamiento gratuito

Estacionamiento pagado en la calle",4.6,10569.0,$$,Restaurante colombiano,Accesible con silla de ruedas,"12 pm.,9 pm.",http://mondongos.com.co/,Comuna El Poblado Restaurantes,(604) 6048116 ,"Cl 10 #38-38, El Poblado, Medellín, El Poblado, Medellín, Antioquia",6.2097759,-75.567727
7,37 Park Medellín | Restaurante & Bar,"Información  Restaurante sencillo de grandes hamburguesas, wraps con papas fritas y platos abundantes de nachos.
    Accesibilidad

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Asientos al aire libre

Entrega a domicilio

Para llevar

Consumo en el lugar
    Aspectos destacados

Deportes

Presentaciones en vivo
    Qué ofrece

Alcohol

Aperitivos

Bebidas fuertes

Café

Cerveza

Cócteles

Comida

Comida en el bar

Comidas durante la madrugada

Lugar para bailar

Platos vegetarianos

Vino
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo

Cena

Postres

Espacio con asientos
    Servicios

Sanitario

Tiene bar
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Sillas altas
    Estacionamiento

Es un poco difícil encontrar espacio",4.5,4598.0,$$,Bar restaurante,,,https://www.instagram.com/37parkmedellin/,Comuna El Poblado Restaurantes,310 5966293 ,"Cra. 37 #8a-4, El Poblado, Medellín, El Poblado, Medellín, Antioquia",6.2076047,-75.5670269
8,REPEAT,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas
    Opciones de servicio

Asientos al aire libre

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Alcohol

Aperitivos

Bebidas fuertes

Café

Cerveza

Cócteles

Comida

Comida en el bar

Comidas durante la madrugada

Vino
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo

Cena

Postres

Espacio con asientos
    Servicios

Sanitario

Tiene bar

Wi-Fi

Tiene Wi-Fi gratis
    Ambiente

Agradable

Informal
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero

Grupos

Recomendable para ir en familia
    Planificación

Se aceptan reservas
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños

Sillas altas
    Mascotas

Se permiten perros",4.5,818.0,$$,Bar restaurante,Accesible con silla de ruedas,,https://instagram.com/repeat.med?igshid=114fvlotnytva,Comuna El Poblado Restaurantes,320 7573346 ,"Cra. 36 #8A 5, El Poblado, Medellín, El Poblado, Medellín, Antioquia",6.2075637,-75.566815
9,hostal lleras calle 8,"Información  Este hostal moderno se encuentra en una calle residencial, a 1 km de la estación de trenes Poblado, a 3 km del Museo de Arte Moderno de Medellín y a 4 km del zoológico de Santa Fe.
Los informales dormitorios mixtos y solo para hombres/mujeres cuentan con piso de madera, ventilador y baño compartido. Las habitaciones privadas ofrecen TV de pantalla plana. Las suites incluyen baño en suite y sofá cama.
Los servicios incluyen 2 cocinas para huéspedes, una terraza tranquila, utensilios para barbacoa, un salón con TV, una mesa de ping pong y una sala con computadoras.
  
Wi-Fi gratis

Desayuno incluido

Piscina

Servicio de lavandería

Se permiten mascotas

Restaurante

Transporte desde/hacia el aeropuerto

Gimnasio

Libre de humo
 ",4.2,285.0,Hotel de 2 estrellas,,,,,Comuna El Poblado Hoteles,43229080 ,"Cl. 8 #37A - 59, El Poblado, Medellín, El Poblado, Medellín, Antioquia",6.2076846,-75.5681917
