,name,desc,score,c_score,price,category,accessibility,schedule,web,search_parameters,phone,address,lat,lon
0,Restaurante y Cafeteria Casero La Candelaria,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas
    Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Café
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos",4.5,98.0,$ 10.000-20.000,Restaurante,Accesible con silla de ruedas,"6 .,9 pm.",,Comuna La Candelaria Restaurantes,45111431 ,"Pasaje Comercial El Escorial, Cl. 51 #49-48, La Candelaria, Medellín, Antioquia",6.2499676,-75.5669511
1,El Llanerito Centro,"Información  Restaurante amplio y cálido con especialidades tradicionales de carne y animación de música en vivo.
    Accesibilidad

Entrada accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Alcohol

Aperitivos

Bebidas fuertes

Café

Cerveza

Vino
    Opciones del local

Almuerzo

Cena

Postres

Espacio con asientos
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños

Sillas altas",4.9,8370.0,$,Restaurante,No accesible con silla de ruedas,,http://elllanerito.com/,Comuna La Candelaria Restaurantes,43222199 ,"Cra. 50 # 49 - 06, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2486426,-75.5679865
2,Restaurante la Trucha,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Aperitivos

Café
    Opciones del local

Desayuno-almuerzo

Almuerzo

Cena
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.4,156.0,$ 10.000-20.000,Restaurante,,"9 .,6 pm.",http://restaurantelatrucha.com.co/,Comuna La Candelaria Restaurantes,311 6073400 ,"Cra. 47 #61 - 80, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2573176,-75.560367
3,Restaurante Nuquí Centro,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas
    Opciones de servicio

Retiros en la puerta

Entrega a domicilio

Para llevar

Consumo en el lugar
    Aspectos destacados

Buenos cócteles
    Qué ofrece

Alcohol

Bebidas fuertes

Café

Cerveza

Cócteles

Vino
    Opciones del local

Desayuno-almuerzo

Almuerzo

Cena

Servicio de catering

Postres

Espacio con asientos
    Servicios

Sanitario

Tiene bar
    Ambiente

Agradable

Informal
    Público usual

Grupos

Recomendable para ir en familia
    Planificación

Se aceptan reservas
    Pagos

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños

Menú para niños

Sillas altas
    Estacionamiento

Estacionamiento gratuito en la calle

Estacionamiento pagado en la calle
    Mascotas

Se admiten perros en el interior

Se permiten perros

Se permiten perros afuera",4.4,636.0,$$,Restaurante,Accesible con silla de ruedas,"12 pm.,6 pm.",,Comuna La Candelaria Restaurantes,305 3390680 ,"Cl. 55 #45-83, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2516331,-75.562622
4,Restaurante La Buena Olla,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Para llevar

Consumo en el lugar
    Qué ofrece

Aperitivos

Tenedor libre
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo

Cena
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Menores

Ideal para ir con niños",4.6,540.0,$ 1-10.000,Restaurante,No accesible con silla de ruedas,"9 .,6 pm.",,Comuna La Candelaria Restaurantes,,"La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2464663,-75.5591587
5,La Vendimia,"Información  Accesibilidad

Espacio accesible para personas en silla de ruedas
    Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Alcohol

Aperitivos

Bebidas fuertes

Café

Cerveza

Cócteles

Vino
    Opciones del local

Almuerzo

Postres
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Menores

Ideal para ir con niños
    Estacionamiento

Estacionamiento gratuito en la calle",4.7,229.0,$ 10.000-20.000,Restaurante,,"9 .,6 pm.",https://www.facebook.com/lavendimiamed/,Comuna La Candelaria Restaurantes,44795151 ,"Cl. 56 #43-63, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2516301,-75.5612251
6,Restaurante El FOGÓN PAISA,"Información  Accesibilidad

Espacio accesible para personas en silla de ruedas
    Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Aperitivos

Café
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.2,87.0,,Restaurante,,"6 .,9 pm.",,Comuna La Candelaria Restaurantes,42312257 ,"Cl. 54 #50-22, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2532948,-75.5665462
7,Restaurante Sandorial,"Información  Opciones de servicio

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Alcohol

Aperitivos

Bebidas fuertes

Cerveza

Vino
    Opciones del local

Desayuno-almuerzo

Almuerzo

Postres
    Servicios

Sanitario

Tiene bar
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Menores

Ideal para ir con niños",4.4,125.0,$,Restaurante,,,https://www.facebook.com/groups/restaurantesandorial/?fref=ts,Comuna La Candelaria Restaurantes,312 2269613 ,"Cl. 62 #52-88, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2612087,-75.5678067
8,LA COMBINACION,"Información  Accesibilidad

Espacio accesible para personas en silla de ruedas
    Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.6,143.0,$ 20.000-30.000,Restaurante colombiano,,"9 .,9 pm.",,Comuna La Candelaria Restaurantes,45131853 ,"Cra. 49 #45-138, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2464679,-75.5682722
9,Donde Juancho. Restaurante Bar,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Aspectos destacados

Buenos cócteles
    Qué ofrece

Alcohol

Aperitivos

Bebidas fuertes

Café

Cerveza

Cócteles

Vino
    Opciones del local

Almuerzo

Cena

Postres
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.6,40.0,$ 10.000-20.000,Restaurante,Accesible con silla de ruedas,,,Comuna La Candelaria Restaurantes,310 3730713 ,"Cl. 48 #4241 Local 142, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",6.2448782,-75.563297
