,name,desc,score,c_score,price,category,accessibility,schedule,web,search_parameters,phone,address,lat,lon
0,Restaurante Outles Guayabal,"Información  Accesibilidad

Espacio accesible para personas en silla de ruedas
    Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Café
    Opciones del local

Desayuno-almuerzo

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños",4.1,20.0,,Restaurante,,"9 .,6 pm.",,Comuna Guayabal Restaurantes,,"a 52-96,, Cl. 29 #52-2, Medellín, Antioquia",6.2290364,-75.5781038
1,Restaurante Laurel Guayabal,"Información  Opciones de servicio

Asientos al aire libre

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Tenedor libre
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo

Espacio con asientos
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Menores

Ideal para ir con niños
    Estacionamiento

Estacionamiento gratuito en la calle",4.6,837.0,$ 1-10.000,Restaurante,,"6 .,6 pm.",,Comuna Guayabal Restaurantes,,"a 51b-64, Cl. 4 Sur #51b-2, Medellín, Antioquia",6.2052778,-75.5861111
2,Restaurante Jua Jua,"Información  Accesibilidad

Espacio accesible para personas en silla de ruedas
    Opciones de servicio

Asientos al aire libre

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Café
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo

Espacio con asientos
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños
    Estacionamiento

Hay suficiente espacio

Estacionamiento gratuito

Estacionamiento gratuito en la calle",4.6,493.0,$ 10.000-20.000,Restaurante,,"6 .,6 pm.",https://www.paginasamarillas.com.co/empresas/restaurante-jua-jua/medellin-15512827,Comuna Guayabal Restaurantes,52651417 ,"Cra. 54 #25 - 04, Guayabal, Medellín, Guayabal, Medellín, Antioquia",6.2264402,-75.5799881
3,Restaurante La Guayaba,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas

Sanitarios accesibles para personas en silla de ruedas

Bucle magnético de asistencia

Estacionamiento accesible para personas en silla de ruedas
    Opciones de servicio

Retiros en la puerta

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Aspectos destacados

Asientos en la terraza

Deportes
    Qué ofrece

Alcohol

Aperitivos

Barra de ensaladas

Bebidas fuertes

Café

Cerveza

Cócteles

Opciones veganas

Platos vegetarianos

Vino
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo

Cena

Servicio de catering

Postres

Espacio con asientos
    Servicios

Sanitario

Tiene bar

Wi-Fi

Tiene Wi-Fi gratis
    Ambiente

Agradable

Informal
    Público usual

Amigable con LGBTQ+

Espacio seguro para personas transgénero

Grupos

Recomendable para ir en familia
    Planificación

Se aceptan reservas
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños

Menú para niños

Sillas altas
    Estacionamiento

Hay suficiente espacio

Estacionamiento gratuito

Estacionamiento gratuito en la calle
    Mascotas

Se admiten perros en el interior

Se permiten perros

Se permiten perros afuera",4.6,1960.0,$ 20.000-40.000,Restaurante colombiano,Accesible con silla de ruedas,,,Comuna Guayabal Restaurantes,312 7744257 ,"Cra. 52 #18 - 05, Guayabal, Medellín, Guayabal, Medellín, Antioquia",6.221065,-75.5803451
4,Restaurante Sazón con Amor,"Información  Accesibilidad

Espacio accesible para personas en silla de ruedas
    Opciones de servicio

Asientos al aire libre

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Aperitivos

Café
    Opciones del local

Desayuno-almuerzo

Almuerzo

Cena

Espacio con asientos
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.9,41.0,$ 10.000-20.000,Restaurante,,"9 .,6 pm.",https://instagram.com/sazonconamor.casero?igshid=1tkymn1afaba4,Comuna Guayabal Restaurantes,300 7834797 ,"Cl. 16 #52-160, Guayabal, Medellín, Guayabal, Medellín, Antioquia",6.2194681,-75.5814546
5,Restaurante Las Panas,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas

Espacio accesible para personas en silla de ruedas
    Opciones de servicio

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Qué ofrece

Alcohol

Aperitivos

Bebidas fuertes

Café

Cerveza

Vino
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo

Cena

Postres

Espacio con asientos
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Planificación

Se aceptan reservas
    Pagos

Pagos con dispositivos móviles mediante NFC

Tarjetas de crédito

Tarjetas de débito

Tarjetas de crédito
    Menores

Ideal para ir con niños

Sillas altas
    Estacionamiento

Estacionamiento gratuito",4.4,504.0,$,Restaurante,Accesible con silla de ruedas,"12 pm.,9 pm.",,Comuna Guayabal Restaurantes,4605 1052 ,"Cra. 51 #18, Guayabal, Medellín, Guayabal, Medellín, Antioquia",6.201224,-75.5859366
6,Restaurante Mamabuela,"Información  Accesibilidad

Espacio accesible para personas en silla de ruedas
    Opciones de servicio

Para llevar

Consumo en el lugar
    Qué ofrece

Café
    Opciones del local

Desayunos

Desayuno-almuerzo

Almuerzo
    Servicios

Sanitario
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.5,67.0,$ 10.000-20.000,Restaurante,,"9 .,6 pm.",,Comuna Guayabal Restaurantes,42352335 ,"Cl. 29 #58 - 82, Guayabal, Medellín, Guayabal, Medellín, Antioquia",6.2291249,-75.581582
7,La Abuela Restaurante,,,,,Restaurante,,,,Comuna Guayabal Restaurantes,300 6475767 ,"Cra. 52 #11 Sur-13, Guayabal, Medellín, Guayabal, Medellín, Antioquia",6.1985773,-75.5896945
8,Restaurante la 65,,4.6,9.0,,Restaurante,,,,Comuna Guayabal Restaurantes,,"Cra. 65 #4A-23, Guayabal, Medellín, Guayabal, Medellín, Antioquia",6.2092736,-75.5885741
9,Hotel Casa Lucca,"Información  
Wi-Fi gratis

Desayuno

Estacionamiento

Accesible

Piscina

Aire acondicionado

Se permiten mascotas

Cocina en algunas habitaciones

Transporte desde/hacia el aeropuerto

Gimnasio
 ",4.7,36.0,,,,,http://www.theluccahotels.com/,Comuna Guayabal Hoteles,305 4772711 ,"Cra 50E #2Sur-35, Guayabal, Medellín, Guayabal, Medellín, Antioquia",6.2046549,-75.5824552
